ID_WEB,Org_Name,Location,Description
1001,Uz-Auto Motors AJ,Andijon vil.,Avtomobil ishlab chiqarish
1002,Artel Elektroniks,Toshkent sh.,Maishiy texnika
1003,Akfa Holding,Tashkent,Qurilish materiallari va derazalar
1004,IT-Park Toshkent,"Toshkent, Mirzo Ulugbek",IT startaplar markazi
1005,Korzinka Supermarket,Toshkent,Oziq-ovqat savdosi
1006,Hamkor Bank,Andijon,Bank xizmatlari
1007,Kapital Bank ATB,Toshkent,Xususiy bank
1008,Sanoat Qurilish Bank,Tashkent,Davlat banki
1009,U-cell (Coscom),Toshkent,Mobil aloqa operatori
1010,Bilayn Uzb,Uzb,Telekommunikatsiya
1011,Apex Sug'urta,Andijon vil.,Sug'urta xizmati
1012,BMB Trade Group,Toshkent sh.,Investitsion xolding
1013,Golden-House,Tashkent,Uy-joy qurilishi
1014,Murad Bldg,"Toshkent, Mirzo Ulugbek",Elita turar joylar
1015,Enter Eng.,Toshkent,Sanoat qurilishi
1016,Texnomart*,Andijon,Elektronika do'koni
1017,El-makon,Toshkent,Gadjetlar savdosi
1018,Ishonch Do'konlari,Tashkent,Maishiy texnika kreditga
1019,Havas Market,Toshkent,Diskaunter supermarket
1020,Makro,Uzb,Supermarketlar tarmog'i
1021,Orient Group Holding,Andijon vil.,Ko'p tarmoqli xolding
1022,Fergana Azot,Toshkent sh.,Kimyo sanoati
1023,NMMC (Navoiy),Tashkent,Oltin qazib olish
1024,AGMK (Olmaliq),"Toshkent, Mirzo Ulugbek",Mis va metallurgiya
1025,UNG - Uzbekneftegaz,Toshkent,Gaz va neft
1026,Havo Yo'llari,Andijon,Aviatsiya xizmati
1027,O'zbekiston Temir Yo'llari,Toshkent,Transport logistikasi
1028,Agromir,Tashkent,Sharbatlar ishlab chiqarish
1029,Safi Bakery,Toshkent,Kandolat mahsulotlari
1030,Gofur Gulom,Uzb,Kitob nashriyoti
1031,Hilol Nashriyoti,Andijon vil.,Diniy kitoblar
1032,Asaxiy Books,Toshkent sh.,Onlayn do'kon
1033,Olcha uz,Tashkent,Marketpleys
1034,Zood mall,"Toshkent, Mirzo Ulugbek",To'lov rejasi bilan savdo
1035,Uzum,Toshkent,E-commerce
1036,Pay-me,Andijon,To'lov tizimi
1037,Click,Toshkent,Fintech xizmati
1038,Azo Bank (Apelsin),Tashkent,Raqamli bank
1039,Yandex Taxi,Toshkent,Transport xizmati
1040,Express 24,Uzb,Taom yetkazib berish
1041,My Taxi Uz,Andijon vil.,Taksi xizmati
1042,Navvat,Toshkent sh.,Milliy taomlar restorani
1043,LesAiles,Tashkent,Fast food (tovuq)
1044,Chopar,"Toshkent, Mirzo Ulugbek",Pitseriya
1045,Bellissimo,Toshkent,Pitsa tarmog'i
1046,EVOS Burger,Andijon,Lavash va fastfud
1047,Oqtepa,Toshkent,Tez ovqatlanish
1048,Feed Up,Tashkent,Fastfud restorani
1049,Street-77,Toshkent,Burger va sendvich
1050,Yapona-Mama,Uzb,Sushi xizmati
